country,total_power_GW,on_shore_wind_pct,off_shore_wind_pct,wave_pct,geothermal_pct,hydro_pct,tidal_pct,resPV_pct,comPV_pct,utilPV_pct,csp_pct
Albania,2.1,18.71,0.31,0,0,30.84,0.1,12.76,24.31,4.68,8.29
Algeria,53.8,32.64,0.02,0.07,0,0.17,0.01,21.98,24.97,8.16,11.97
Angola,15.1,24.14,1.38,5.74,0,2.27,0.04,16.99,32.37,6.04,11.03
Argentina,74.8,19.1,15.92,0,1.02,5.14,0.02,21.43,21.34,4.77,11.26
Armenia,2.4,19.17,0,0,0.81,22.41,0,18.79,13.88,15.72,9.21
Australia,118.9,20.07,16.73,5.79,0.28,3.13,0.1,13.73,11.17,18.11,10.88
Austria,29.8,44.67,0,0,0,12.44,0,7.93,6.36,28.33,0.25
Azerbaijan,10.8,14.95,0,0,0,4.46,0,21.42,22.87,24.83,11.46
Bahrain,9.3,0.38,16.89,0,0,0,0.02,3.7,1.74,65.28,12
Bangladesh,37.7,5.77,5.8,0.5,0,0.26,0.08,27.81,7.81,40.06,11.9
Belarus,27.5,64.55,0,0,0.03,0.06,0,3.83,3.41,16.14,11.99
Belgium,37.6,4.8,17.8,0,0,0.15,0,1.43,1.27,74.56,0
Benin,3.9,22.63,18.86,0.85,0,0.01,0.03,25.39,14.69,5.66,11.89
Bolivia,6.7,22.33,0,0,15.34,3.34,0,15.03,28.63,5.58,9.76
Bosnia and Herzegovina,3.8,20.12,4.32,0,0,25.15,0.01,16.21,19.54,5.67,8.98
Botswana,3,27.46,0,0,0,0,0,18.48,35.2,6.86,12
Brazil,315.9,17.24,14.37,0.89,0,13.03,0.01,19.34,20.48,4.31,10.33
Brunei Darussalam,3.5,1.04,21.11,1.24,0,0,0.04,18.85,8.25,37.62,11.85
Bulgaria,13.1,44.14,10.34,0,0,7.8,0.02,13.34,13.33,11.04,0
Cambodia,6.5,15.02,12.51,0,0,8.81,0.04,16.85,32.09,3.75,10.94
Cameroon,17.6,16.52,0.92,0.69,0,1.91,0.01,25.79,12.01,30.46,11.69
Canada,240.3,27.49,22.9,2.24,1.65,14.51,0.18,5.3,9.09,6.87,9.77
Chile,37.3,18.7,15.59,5.28,3.65,8.22,0.06,20.22,13.67,4.68,9.93
China,3291.6,24.08,11.77,0.03,0.05,4.13,0.01,14.08,9.14,25.23,11.49
Chinese Taipei,99.8,2.08,21.73,0.14,28.64,0.98,0.01,10.83,5.09,30.51,0
Colombia,32.6,13.7,11.42,0.81,0,15.68,0.34,15.37,29.28,3.43,9.98
Congo,2.3,17.81,14.85,1.59,0,3.2,0.05,19.98,38.07,4.45,0
"Congo, Dem. Republic",28.3,38,0.54,0.04,0,4.11,0,25.87,10.44,9.5,11.5
Costa Rica,3.5,5.7,1.23,2.88,28.23,23.63,0.15,8.34,15.88,8.55,5.41
Cote d'Ivoire,10.2,18.42,15.41,1.18,0,2.39,0.03,20.75,25.56,4.7,11.57
Croatia,8.2,9.73,0,0,0,10.2,0.18,15.38,12.01,41.75,10.75
Cuba,7.7,15.41,12.84,5.97,0,0.36,0.13,17.29,32.93,3.85,11.22
Cyprus,1.8,8.33,16.67,1.7,0,0,0.19,22.44,22.21,16.68,11.77
Czech Republic,27.6,41.64,0,0,0,1.76,0,6.17,5.89,44.54,0
Denmark,16.8,26.51,37.29,1.08,0,0.02,0.1,3.66,1.92,29.43,0
Dominican Republic,5.8,8.13,12.76,0,9.5,4.21,0.09,17.18,26.76,11.01,10.34
Ecuador,11.9,21.69,2.27,5.1,0.27,8.56,0.46,15.82,30.14,5.42,10.27
Egypt,102.3,30.28,0.24,0,0,1.23,0.01,20.51,28.32,7.57,11.85
El Salvador,2.5,9.14,7.62,2.32,33.46,8.64,0.08,10.25,19.53,2.29,6.66
Eritrea,6.7,16.31,13.59,0,0,0,1,18.29,34.85,4.08,11.88
Estonia,3.6,43.85,36.54,0,0,0.1,0.28,4.83,3.43,10.96,0
Ethiopia,48.7,39.58,0,0,2.47,2.05,0,26.64,7.9,9.9,11.46
Finland,29.9,43.58,36.31,0,0,5.05,0.02,2.86,1.29,10.89,0
France,158,31.12,25.94,0.49,0.02,5.25,0.14,9.57,8.4,7.78,11.29
Gabon,3.2,17.19,14.32,5.86,0,2.2,0.12,19.28,36.73,4.3,0
Georgia,3.6,14.96,12.47,0,0,33.71,0.06,16.79,18.27,3.74,0
,,,,,,,,,,,
Germany,226.3,22.08,22.95,0.07,0.01,0.92,0,5.49,5.76,42.72,0
Ghana,9,17.78,14.81,1.37,0,6.98,0.03,19.94,23.65,4.44,11
