Year,Country,Fraction
0,Afghanistan,0.46605873482547516
1,Afghanistan,0.16791174325572333
2,Afghanistan,0.25527220166582537
3,Afghanistan,0.3667972759888426
4,Afghanistan,0.4927772251414881
5,Afghanistan,0.5655556916614913
6,Afghanistan,0.6352478136062706
7,Afghanistan,0.7548288930761933
8,Afghanistan,0.7993185725086864
9,Afghanistan,0.8653652533042562
10,Afghanistan,0.9848152790944916
11,Afghanistan,1.0309412971253167
12,Afghanistan,0.985954737226434
13,Afghanistan,1.0148213156110266
14,Afghanistan,0.9809870424298983
0,Albania,0.33186148407297245
1,Albania,0.08732234893037556
2,Albania,0.1467690305412402
3,Albania,0.202746325997984
4,Albania,0.2382229562512442
5,Albania,0.3455895237871532
6,Albania,0.36726521920708693
7,Albania,0.5217910249023388
8,Albania,0.7067084012309351
9,Albania,0.8865080952119646
10,Albania,0.9612744454690466
11,Albania,0.9945123670773701
12,Albania,0.9481737367040685
13,Albania,0.9113483957929502
14,Albania,0.9510204058572754
0,Algeria,0.4345628149107878
1,Algeria,0.0973947915443311
2,Algeria,0.14354192150616293
3,Algeria,0.2095235619066505
4,Algeria,0.2823038804780027
5,Algeria,0.3752772820783337
6,Algeria,0.4842471800794102
7,Algeria,0.6237779609571671
8,Algeria,0.8051173863452362
9,Algeria,0.8840492425692718
10,Algeria,1.0117381934978915
11,Algeria,1.020938224532593
12,Algeria,0.9931332007244352
13,Algeria,1.0100850493824949
14,Algeria,1.0257456787301344
0,Angola,0.6597927470913998
1,Angola,0.47658196516476725
2,Angola,0.4563343926944912
3,Angola,0.48397053287877406
4,Angola,0.4896767108689071
5,Angola,0.5394392837474977
6,Angola,0.5675649846727651
7,Angola,0.6872809074901473
8,Angola,0.851434891287015
9,Angola,0.9314868515492574
10,Angola,1.0134912781983474
11,Angola,1.0672157950612449
12,Angola,1.0483477621327695
13,Angola,1.0862557356880493
14,Angola,1.1001468333116147
0,Argentina,0.6165788011698917
1,Argentina,0.398026891388556
2,Argentina,0.3878282420640962
3,Argentina,0.41575763557318524
4,Argentina,0.4632015458967113
5,Argentina,0.5081220790819192
6,Argentina,0.5853724626807466
7,Argentina,0.6798133448615158
8,Argentina,0.8202979786738411
9,Argentina,0.9040281499687132
10,Argentina,0.9988089228594548
11,Argentina,1.03371626561028
12,Argentina,1.0220565715958347
13,Argentina,1.0425476705785888
14,Argentina,1.034697372980673
0,Armenia,0.31811100336930337
1,Armenia,0.1339129981536275
2,Armenia,0.23144800035967522
3,Armenia,0.2780326388620381
4,Armenia,0.38952241716377556
5,Armenia,0.4621976559411087
6,Armenia,0.617845996804692
7,Armenia,0.7743688340256294
8,Armenia,0.8719595237428749
9,Armenia,0.9894074539003869
10,Armenia,1.0452161622569363
11,Armenia,1.075043160914686
12,Armenia,1.0424897195129457
13,Armenia,1.0242695787719007
14,Armenia,1.0216180465685436
0,Australia,0.5943937347069841
1,Australia,0.3909373573038893
2,Australia,0.40990599443825715
3,Australia,0.44962384293431973
4,Australia,0.4548118902383541
5,Australia,0.5053051800262588
6,Australia,0.576678399263743
7,Australia,0.6962015436032727
8,Australia,0.7521174270712475
9,Australia,0.8506630837223361
10,Australia,0.8847351987134376
11,Australia,0.9301777969510535
12,Australia,0.9610724872658379
13,Australia,0.971685836353347
14,Australia,0.9514056936064321
0,Austria,0.34866193311107574
1,Austria,0.10738948633810648
2,Austria,0.2084889851521175
3,Austria,0.2485374914877114
4,Austria,0.3151293150884538
5,Austria,0.33128034552349733
6,Austria,0.4622380156514565
7,Austria,0.4457677437517187
8,Austria,0.6721445656060473
9,Austria,0.8615994505819627
