,country,solar_contribution_baseline,wind_contribution_baseline,total_power_baseline_GW,solar_fraction_NW,wind_fraction_NW,solar+wind_fraction_NW,solar+wind_pct_NW
0,Albania,0.6870166200427843,0.31298337995721576,2.1,0.3455895237871532,0.38779379479098597,0.3587987591745631,35.87987591745631
1,Algeria,0.6278910789563631,0.3721089210436368,53.8,0.3752772820783337,0.3081780352233916,0.35030905372830057,35.030905372830055
2,Angola,0.6846267918932278,0.3153732081067721,15.1,0.5394392837474977,0.5301256679064882,0.5365020188406444,53.650201884064444
3,Argentina,0.5758236434108526,0.4241763565891473,74.8,0.5081220790819192,0.3740350483442778,0.4512455309177694,45.124553091776946
4,Armenia,0.7162522202486679,0.28374777975133214,2.4,0.4621976559411087,0.688971192650738,0.5265441434888232,52.65441434888232
5,Australia,0.5389048991354467,0.46109510086455324,118.9,0.5053051800262588,0.3187001391641565,0.41926250988811364,41.92625098881136
6,Austria,0.4882575323633865,0.5117424676366137,29.8,0.3312803455234972,0.6100198154567287,0.4739231696948508,47.39231696948508
7,Azerbaijan,0.822171999524206,0.17782800047579397,10.8,0.6037188824354967,0.35225581421787455,0.5590017078208487,55.90017078208487
8,Bahrain,0.8037276963291283,0.19627230367087167,9.3,0.5570423303997096,,,
9,Bangladesh,0.8673925501432665,0.1326074498567335,37.7,0.4446265359085754,0.3246114428200634,0.4287116404697894,42.87116404697894
10,Belarus,0.26589332423518713,0.7341066757648129,27.5,0.48642776968538504,0.9991711232247243,0.8628360884726517,86.28360884726517
11,Belgium,0.7736831564189867,0.2263168435810134,37.6,0.5559201194424825,0.5943530686160952,0.5646181431889641,56.46181431889641
12,Benin,0.5243608850166227,0.47563911498337724,3.9,0.5808905311713541,0.5609948304848597,0.5714273577048556,57.142735770485565
13,Bolivia,0.6879977644264357,0.3120022355735644,6.7,0.6097476274042193,0.5233882268042567,0.582803301354238,58.280330135423796
14,Bosnia and Herz.,0.6289098086850896,0.3710901913149104,3.8,0.3189317563106404,0.4041887274370491,0.35056978203686917,35.05697820368692
15,Botswana,0.6879545454545456,0.3120454545454545,3.0,0.5844246854849674,0.3257136037831734,0.5036950683993849,50.369506839938495
16,Brazil,0.5826511750726168,0.41734882492738307,315.9,0.6822086298338097,0.5212977335102159,0.6150526563351457,61.50526563351457
17,Brunei Darussalam,0.7450212961897087,0.25497870381029125,3.5,0.5742678407915701,0.7174465762194425,0.6107753691641656,61.07753691641656
18,Bulgaria,0.40904653433127236,0.5909534656687276,13.1,0.4281291802647158,0.6439480349953369,0.555668080424432,55.566808042443206
19,Cambodia,0.6568187484417852,0.3431812515582149,6.5,0.5838882663805518,0.5811779100502623,0.5829581229029543,58.29581229029544
20,Cameroon,0.7964994165694282,0.2035005834305718,17.6,0.48728673023899494,0.6134213655317167,0.5129552021118663,51.29552021118663
21,Canada,0.2967201674808095,0.7032798325191905,240.3,0.534879358130511,0.6034885176760217,0.5831307963649602,58.31307963649602
22,Chile,0.5293713972001098,0.47062860279989016,37.3,0.5534107844405625,0.3547094148326993,0.45989623648758926,45.98962364875893
23,China,0.5747330960854093,0.4252669039145907,3291.6,0.5328199394110137,0.4831936450362238,0.5117155188494928,51.17155188494928
24,Taiwan,0.661019362186788,0.33898063781321175,99.8,0.4144141877203466,0.579569808588533,0.4703987454206813,47.03987454206813
25,Colombia,0.6568306010928963,0.3431693989071038,32.6,0.6058733212393715,0.18935618502809037,0.46293738597123796,46.2937385971238
26,Congo,0.6567885666246321,0.34321143337536775,2.3,0.6216273203984748,0.7204557346093519,0.6555463620980044,65.55463620980045
27,Dem. Rep. Congo,0.5430942501481921,0.45690574985180793,28.3,0.565477071910415,0.6045462980746291,0.5833280259871051,58.33280259871051
28,Costa Rica,0.82544080604534,0.17455919395465996,3.5,0.5236640652277542,0.2002278244509334,0.467205295742027,46.7205295742027
29,Cote d'Ivoire,0.6012494106553513,0.39875058934464874,10.2,,,,
30,Croatia,0.8766324331177887,0.12336756688221122,8.2,0.2627763193700873,0.4428017561891686,0.28498561948736456,28.498561948736455
31,Cuba,0.656827016520894,0.34317298347910596,7.7,0.5082136001943378,0.3612860246658143,0.4577920257448627,45.77920257448627
32,Cyprus,0.7104135294799028,0.2895864705200973,1.8,0.450699921472862,0.5219757438982304,0.47134043532244163,47.13404353224416
33,Czechia,0.5761400651465798,0.4238599348534202,27.6,0.3212593009667475,0.6940447562588479,0.4792681197611598,47.92681197611598
34,Denmark,0.35431636474041084,0.6456836352595892,16.8,0.5993842271623014,0.6513442771562914,0.6329339811306909,63.29339811306909
35,Dominican Rep.,0.724551687763713,0.2754483122362869,5.8,0.5350394147556132,0.2530592932272539,0.45736846619644356,45.73684661964435
36,Ecuador,0.6819750464560659,0.3180249535439341,11.9,0.6743092532653392,0.930824105687827,0.7558873772903301,75.588737729033
37,Egypt,0.6488725264611136,0.3511274735388863,102.3,0.4338429918710891,0.3690612142217168,0.41109632995370704,41.1096329953707
38,El Salvador,0.6567683800942044,0.3432316199057957,2.5,0.5874082306161708,0.4259263383776012,0.5319825391576735,53.198253915767346
39,Eritrea,0.6567952249770431,0.3432047750229568,6.7,0.4542905572323444,0.3806153889913116,0.4290048876914022,42.900488769140225
